Name,Area ,Suburb,Cuisine,Rating,Description,FavouriteDish,Cost,Address,Meal,ToiletQuality,Queue,Busy,Aesthetic,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,PetFriendly,StaffFriendly,Images,Website,Booking,Instagram,Facebook
Torotoro Ramen,CBD,Barangaroo,Japanese,4.6,"Best Karaage, always add noodles",Chicken Karaage,$$$,"T03/02 300 Barangaroo Ave, Barangaroo NSW 2000",Lunch,3.5,Booking Suggested,Always,Neon Japanese,Closed,1200-1500,1200-1500,"1200-1500, 1730-2200","1200-1500, 1730-2200","1200-1500, 1730-2200",Closed,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/TorotoroRamen.png,https://www.torotoro.com.au/,nowbookit.com,None,None
Henry Lees,CBD,Redfern,Brunch,5,Great food! Loved the vibes!,Eggs,$$,"Hart St, Redfern",Brunch,5,None,Sometimes,Industrial,Closed,Closed,0800-1500,0800-1500,0800-1500,0800-1500,0800-1500,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/HenryLees.png,https://www.henrylees.com.au/,henrylees.com.au,https://www.instagram.com/henryleesredfern/?hl=en,https://www.facebook.com/henryleesredfern/
A Bowl of Noodles,CBD,Haymarket,Chinese ,4,A brand new authentic and affordable Shanghainese restaurant in the heart of Sydney. Freshly opened on the 31st July 2019.,Noodles,$$,"735 George St, Haymarket NSW 2000",Lunch,4.5,Normally None,Sometimes,Mordern,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,No,No,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/ABowlofNoodles.png,https://a-bowl-of-noodles.business.site/,None,https://www.instagram.com/abowlofnoodles_syd/?hl=en,https://www.facebook.com/A-Bowl-of-Noodles-388543205136236/
East Ocean Seafood,CBD,Haymarket,Chinese ,3.7,"Delicious, authentic, genuine and cheap Shanghainese food. We loved the fish soup noodles and their xiao long bao. Super good.

",Pork & Prawn Dumpling With Crab Roe,$$$,"Level1/421-429 Sussex St, Haymarket NSW 2000",Dinner,4,None,Usually not ,Traditional,"1000-1500, 1700-2200","1000-1500, 1700-2200","1000-1500, 1700-2200","1000-1500, 1700-2200","1000-1500, 1700-2300","1000-1500, 1700-2300",0900-2200,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/EastOceanSeafoodRestaurant.png,https://www.eastocean.com.au/,eastocean.com.au,None,https://www.facebook.com/eastoceansydney/
Sunflower Taiwanese Gourmet,CBD,Haymarket,Taiwanese,3.5,"A simple Taiwan restaurant on Broadway. Taiwan gourmet, quite close to Chinese. And most of the customers are Chinese.",Stir Fried Oyster Tofu,$,"804 George St, Haymarket NSW 2000",Dinner,3.5,Sometimes,Normally,Street Market,"1100-1430, 1630-2030","1100-1430, 1630-2030","1100-1430, 1630-2030","1100-1430, 1630-2030","1100-1430, 1630-2030",1100-2030,"1100-1430, 1630-2030",No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/ABowlofNoodles.png,None,None,None,https://www.facebook.com/sunflowertaiwanesegourmet/
Leible Coffee,CBD,Sydney,Coffee,4.5,Caffeine !,Not Yet Decided,$$,"804 George St, Haymarket NSW 2000",,3.5,None,Always,Industrial,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,Yes,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/EastOceanSeafoodRestaurant.png,https://www.torotoro.com.au/,nowbookit.com,None,None
Tokki ,CBD,Surry Hills,Japanese/Korean fusion,5,"contemporary Asian fusion
everything yum but Pork belly bao and Udon and beef extra yum
rice bit salty
aloe gin cocktail v good",Not Yet Decided,$$,"804 George St, Haymarket NSW 2000",Brunch,5,Normally None,Sometimes,Mordern,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/ABowlofNoodles.png,https://www.henrylees.com.au/,henrylees.com.au,https://www.instagram.com/henryleesredfern/?hl=en,https://www.facebook.com/henryleesredfern/
Nanjing Dumpling,CBD,Haymarket ,Shanghai dumpling,4,Dumpling,Not Yet Decided,$$,"804 George St, Haymarket NSW 2000",Lunch,4.5,Sometimes,Sometimes,Traditional,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,No,No,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/EastOceanSeafoodRestaurant.png,https://a-bowl-of-noodles.business.site/,None,https://www.instagram.com/abowlofnoodles_syd/?hl=en,https://www.facebook.com/A-Bowl-of-Noodles-388543205136236/
ShinMachi,Inner City,Newtown,Japanese ,4,Japanese Place,Not Yet Decided,$$,"804 George St, Haymarket NSW 2000",Diner,4,Normally None,Usually not ,Industrial,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/ABowlofNoodles.png,https://www.eastocean.com.au/,eastocean.com.au,None,https://www.facebook.com/eastoceansydney/
Lokha Cafe,Inner City,Alexandria,Vietnamese Fusion,4,Convient Location,Not Yet Decided,$$,"804 George St, Haymarket NSW 2000",Brunch,3.5,Sometimes,Normally,Mordern,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,0900-2200,1000-2130,No,Yes,https://skillry-s3-testing-bucket111341-dev.s3.ap-southeast-2.amazonaws.com/EastOceanSeafoodRestaurant.png,None,None,None,https://www.facebook.com/sunflowertaiwanesegourmet/
